=== row5  a=-4 a20=-1 side=1
  n=50   x0=2.8136853672849        a11=2.4235538922854        Dxxx=-0.001739920182        ds=0.150000   85s
  n=60   x0=3.1647970906131        a11=2.3527380310620        Dxxx=-0.001928238565        ds=0.150000   102s
  n=70   x0=3.5137926407893        a11=2.2875029750298        Dxxx=-0.002016926940        ds=0.150000   118s
  n=80   x0=3.8622882663087        a11=2.2271202658075        Dxxx=-0.002036273437        ds=0.150000   135s
  n=90   x0=4.2112802050741        a11=2.1709934802461        Dxxx=-0.002009431179        ds=0.150000   154s
  n=100  x0=4.5614145493933        a11=2.1186286050016        Dxxx=-0.001953035744        ds=0.150000   173s
  n=110  x0=4.9131243579344        a11=2.0696118801047        Dxxx=-0.001878684383        ds=0.150000   190s
  n=120  x0=5.2667057794973        a11=2.0235932302649        Dxxx=-0.001794318455        ds=0.150000   209s
  -> npts=120 end=5.266705779497276973428174306261269 reason=MAXPTS Dxxx_sign_changes=0  (212s)
=== c_a0p72727_om1p0  a=0.72727272727272727272727272727273 a20=-5.953568607889595543916531570852591 side=1
  n=10   x0=1.1931753934203        a11=2.5252012288892        Dxxx=-1.862324289e-5        ds=0.150000   21s
  n=20   x0=1.6373942431859        a11=2.4121504601262        Dxxx=-0.0004043089169       ds=0.150000   37s
  n=30   x0=1.9946888641133        a11=2.3083639906945        Dxxx=-0.0008473417444       ds=0.150000   52s
  n=40   x0=2.3338823191287        a11=2.2139273391336        Dxxx=-0.001180359560        ds=0.150000   66s
  n=50   x0=2.6679563691911        a11=2.1277061468639        Dxxx=-0.001390186176        ds=0.150000   82s
  n=60   x0=3.0018401138487        a11=2.0486607882091        Dxxx=-0.001500288950        ds=0.150000   98s
  n=70   x0=3.3378915276837        a11=1.9759075853917        Dxxx=-0.001538313327        ds=0.150000   114s
  n=80   x0=3.6773764917862        a11=1.9087021323947        Dxxx=-0.001527401848        ds=0.150000   133s
  n=90   x0=4.0210167423592        a11=1.8464152655747        Dxxx=-0.001484896953        ds=0.150000   151s
  n=100  x0=4.3692335524382        a11=1.7885118799102        Dxxx=-0.001423140178        ds=0.150000   170s
  n=110  x0=4.7222701013695        a11=1.7345337670875        Dxxx=-0.001350653094        ds=0.150000   189s
  n=120  x0=5.0802585261387        a11=1.6840859793130        Dxxx=-0.001273189780        ds=0.150000   208s
  -> npts=120 end=5.080258526138730879200357821424936 reason=MAXPTS Dxxx_sign_changes=0  (211s)
=== c_a0p72727_o0p3  a=0.72727272727272727272727272727273 a20=-4.653568607889595543916531570852591 side=1
  n=10   x0=1.2089313497770        a11=2.5217848366958        Dxxx=9.062154341e-6         ds=0.150000   23s
  *** D_xxx SIGN CHANGE between x0=1.38862031528 and 1.44084313118 : 1.01556e-5 -> -7.87123e-7
  n=20   x0=1.7235922277808        a11=2.3860982931734        Dxxx=-0.0001771927899       ds=0.150000   42s
  n=30   x0=2.1506805319991        a11=2.2635405371919        Dxxx=-0.0006449741263       ds=0.150000   59s
  n=40   x0=2.5627888342862        a11=2.1539600239515        Dxxx=-0.001046634811        ds=0.150000   77s
  n=50   x0=2.9732819365730        a11=2.0554899769601        Dxxx=-0.001300792250        ds=0.150000   95s
  n=60   x0=3.3870914813768        a11=1.9665027817719        Dxxx=-0.001426939697        ds=0.150000   113s
  n=70   x0=3.8064804047923        a11=1.8856622776561        Dxxx=-0.001462545484        ds=0.150000   132s
  n=80   x0=4.2325870920160        a11=1.8118743133842        Dxxx=-0.001439985179        ds=0.150000   152s
  n=90   x0=4.6659949660815        a11=1.7442362377929        Dxxx=-0.001382719637        ds=0.150000   171s
  n=100  x0=5.1069851164855        a11=1.6819964921693        Dxxx=-0.001306554247        ds=0.150000   192s
  n=110  x0=5.5556628965410        a11=1.6245236509629        Dxxx=-0.001221708599        ds=0.150000   213s
  n=120  x0=6.0120271146504        a11=1.5712827886970        Dxxx=-0.001134582963        ds=0.150000   233s
  -> npts=120 end=6.012027114650388449965695817014799 reason=MAXPTS Dxxx_sign_changes=1  (236s)
=== c_a0p8_om0p08  a=0.8 a20=-6.214911242603550295857988165680473 side=1
  n=10   x0=1.1982843413032        a11=2.3765410428820        Dxxx=-3.139246256e-6        ds=0.150000   20s
  n=20   x0=1.6709733270458        a11=2.2450818446619        Dxxx=-0.0001925717790       ds=0.150000   36s
  n=30   x0=2.0618173193087        a11=2.1256863784880        Dxxx=-0.0005051681367       ds=0.150000   54s
  n=40   x0=2.4398301098510        a11=2.0183148251689        Dxxx=-0.0007646866377       ds=0.150000   70s
  n=50   x0=2.8177279707141        a11=1.9214195099751        Dxxx=-0.0009307859972       ds=0.150000   87s
  n=60   x0=3.2001810953767        a11=1.8335971444285        Dxxx=-0.001014862883        ds=0.150000   103s
  n=70   x0=3.5893118868874        a11=1.7536609313889        Dxxx=-0.001039185663        ds=0.150000   121s
  n=80   x0=3.9861709662217        a11=1.6806154701020        Dxxx=-0.001023909059        ds=0.150000   139s
  n=90   x0=4.3912817138392        a11=1.6136233284516        Dxxx=-0.0009842612754       ds=0.150000   158s
  n=100  x0=4.8048815165911        a11=1.5519758916312        Dxxx=-0.0009308805780       ds=0.150000   179s
  n=110  x0=5.2270424257566        a11=1.4950697840392        Dxxx=-0.0008708688314       ds=0.150000   199s
  n=120  x0=5.6577369387807        a11=1.4423881138743        Dxxx=-0.0008088054506       ds=0.150000   220s
  -> npts=120 end=5.657736938780714969419135539898393 reason=MAXPTS Dxxx_sign_changes=0  (223s)
=== c_a0p9_om1p0  a=0.9 a20=-11.55663265306122448979591836734694 side=1
  n=10   x0=1.0939661850673        a11=2.1934003778672        Dxxx=-2.764089188e-7        ds=0.0512578  30s
